iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"103,36","103,36","1,72"
2,"114,89","11,53","0,19"
3,"126,53","11,64","0,19"
4,"138,68","12,15","0,20"
5,"149,96","11,28","0,19"
6,"161,20","11,24","0,19"
7,"174,75","13,55","0,23"
8,"185,71","10,96","0,18"
9,"196,64","10,93","0,18"
10,"207,57","10,93","0,18"
11,"218,50","10,93","0,18"
12,"229,40","10,90","0,18"
13,"240,31","10,91","0,18"
14,"251,21","10,90","0,18"
15,"262,10","10,89","0,18"
16,"272,99","10,89","0,18"
17,"283,88","10,89","0,18"
18,"294,79","10,91","0,18"
19,"305,67","10,88","0,18"
20,"316,56","10,89","0,18"
21,"327,43","10,87","0,18"
22,"338,33","10,90","0,18"
23,"349,22","10,89","0,18"
24,"360,12","10,90","0,18"
25,"371,02","10,90","0,18"
26,"381,93","10,91","0,18"
27,"392,83","10,90","0,18"
28,"403,84","11,01","0,18"
29,"414,93","11,09","0,18"
30,"425,99","11,06","0,18"
