iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"136,77","136,77","2,28"
2,"273,33","136,56","2,28"
3,"409,45","136,12","2,27"
4,"545,30","135,85","2,26"
5,"680,14","134,84","2,25"
6,"815,43","135,29","2,25"
7,"950,77","135,34","2,26"
8,"1.086,69","135,92","2,27"
9,"1.222,58","135,89","2,26"
10,"1.358,09","135,51","2,26"
11,"1.493,55","135,46","2,26"
12,"1.629,91","136,36","2,27"
13,"1.766,01","136,10","2,27"
14,"1.902,18","136,17","2,27"
15,"2.038,09","135,91","2,27"
16,"2.175,60","137,51","2,29"
17,"2.311,45","135,85","2,26"
18,"2.447,03","135,58","2,26"
19,"2.583,05","136,02","2,27"
20,"2.718,27","135,22","2,25"
21,"2.853,01","134,74","2,25"
22,"2.988,85","135,84","2,26"
23,"3.123,55","134,70","2,25"
24,"3.258,23","134,68","2,24"
25,"3.393,25","135,02","2,25"
26,"3.527,83","134,58","2,24"
27,"3.663,35","135,52","2,26"
28,"3.799,19","135,84","2,26"
29,"3.934,77","135,58","2,26"
30,"4.071,09","136,32","2,27"
