iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"134,16","134,16","2,24"
2,"264,03","129,87","2,16"
3,"393,69","129,66","2,16"
4,"522,81","129,12","2,15"
5,"652,42","129,61","2,16"
6,"781,54","129,12","2,15"
7,"910,39","128,85","2,15"
8,"1.039,80","129,41","2,16"
9,"1.168,86","129,06","2,15"
10,"1.297,95","129,09","2,15"
11,"1.426,87","128,92","2,15"
12,"1.556,49","129,62","2,16"
13,"1.686,02","129,53","2,16"
14,"1.815,71","129,69","2,16"
15,"1.945,38","129,67","2,16"
16,"2.078,82","133,44","2,22"
17,"2.213,36","134,54","2,24"
18,"2.348,22","134,86","2,25"
19,"2.483,44","135,22","2,25"
20,"2.616,50","133,06","2,22"
21,"2.748,85","132,35","2,21"
22,"2.881,47","132,62","2,21"
23,"3.014,07","132,60","2,21"
24,"3.146,46","132,39","2,21"
25,"3.283,67","137,21","2,29"
26,"3.420,15","136,48","2,27"
27,"3.556,86","136,71","2,28"
28,"3.692,48","135,62","2,26"
29,"3.828,92","136,44","2,27"
30,"3.961,78","132,86","2,21"
