iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"364,07","364,07","6,07"
2,"745,92","381,85","6,36"
3,"1122,84","376,92","6,28"
4,"1499,56","376,72","6,28"
5,"1877,39","377,83","6,3"
6,"2256,04","378,65","6,31"
7,"2633,78","377,74","6,3"
8,"3013,05","379,27","6,32"
9,"3391,5","378,45","6,31"
10,"3770,49","378,99","6,32"
11,"4148,63","378,14","6,3"
12,"4527,85","379,22","6,32"
13,"4905,08","377,23","6,29"
14,"5282,14","377,06","6,28"
15,"5659,52","377,38","6,29"
16,"6037,71","378,19","6,3"
17,"6415,42","377,71","6,3"
18,"6792,98","377,56","6,29"
19,"7170,27","377,29","6,29"
20,"7548,08","377,81","6,3"
21,"7925,23","377,15","6,29"
22,"8302,9","377,67","6,29"
23,"8679,9",377,"6,28"
24,"9057,4","377,5","6,29"
25,"9435,43","378,03","6,3"
26,"9812,83","377,4","6,29"
27,"10190,76","377,93","6,3"
28,"10569,26","378,5","6,31"
29,"10946,28","377,02","6,28"
30,"11323,83","377,55","6,29"
,,"377,461",
