Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"138,44","138,44","2,31"
2,"276,84","138,40","2,31"
3,"415,36","138,52","2,31"
4,"553,78","138,42","2,31"
5,"692,03","138,25","2,30"
6,"830,46","138,43","2,31"
7,"968,84","138,38","2,31"
8,"1.107,30","138,46","2,31"
9,"1.245,65","138,35","2,31"
10,"1.384,07","138,42","2,31"
11,"1.522,52","138,45","2,31"
12,"1.660,81","138,29","2,30"
13,"1.799,26","138,45","2,31"
14,"1.937,59","138,33","2,31"
15,"2.075,94","138,35","2,31"
16,"2.214,43","138,49","2,31"
17,"2.352,90","138,47","2,31"
18,"2.491,20","138,30","2,31"
19,"2.629,60","138,40","2,31"
20,"2.768,09","138,49","2,31"
21,"2.906,48","138,39","2,31"
22,"3.044,81","138,33","2,31"
23,"3.183,21","138,40","2,31"
24,"3.321,60","138,39","2,31"
25,"3.459,99","138,39","2,31"
26,"3.598,44","138,45","2,31"
27,"3.736,95","138,51","2,31"
28,"3.875,39","138,44","2,31"
29,"4.013,91","138,52","2,31"
30,"4.152,28","138,37","2,31"
