Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"5,57","5,57","0,09"
2,"11,12","5,55","0,09"
3,"16,67","5,55","0,09"
4,"22,26","5,59","0,09"
5,"28,24","5,98","0,10"
6,"34,19","5,95","0,10"
7,"39,91","5,72","0,10"
8,"45,90","5,99","0,10"
9,"51,90","6,00","0,10"
10,"57,60","5,70","0,10"
11,"63,37","5,77","0,10"
12,"69,16","5,79","0,10"
13,"74,84","5,68","0,09"
14,"80,60","5,76","0,10"
15,"86,43","5,83","0,10"
16,"92,30","5,87","0,10"
17,"98,06","5,76","0,10"
18,"103,82","5,76","0,10"
19,"109,73","5,91","0,10"
20,"115,60","5,87","0,10"
21,"121,49","5,89","0,10"
22,"127,14","5,65","0,09"
23,"132,93","5,79","0,10"
24,"138,66","5,73","0,10"
25,"144,48","5,82","0,10"
26,"150,31","5,83","0,10"
27,"156,20","5,89","0,10"
28,"161,92","5,72","0,10"
29,"167,80","5,88","0,10"
30,"173,51","5,71","0,10"
