Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"59,00","59,00","0,98"
2,"76,98","17,98","0,30"
3,"86,36","9,38","0,16"
4,"95,60","9,24","0,15"
5,"104,78","9,18","0,15"
6,"114,16","9,38","0,16"
7,"123,62","9,46","0,16"
8,"132,78","9,16","0,15"
9,"142,16","9,38","0,16"
10,"151,32","9,16","0,15"
11,"160,74","9,42","0,16"
12,"170,12","9,38","0,16"
13,"179,52","9,40","0,16"
14,"188,72","9,20","0,15"
15,"197,91","9,19","0,15"
16,"207,16","9,25","0,15"
17,"216,40","9,24","0,15"
18,"225,65","9,25","0,15"
19,"234,90","9,25","0,15"
20,"244,15","9,25","0,15"
21,"253,27","9,12","0,15"
22,"262,19","8,92","0,15"
23,"271,12","8,93","0,15"
24,"280,05","8,93","0,15"
25,"288,96","8,91","0,15"
26,"297,88","8,92","0,15"
27,"306,80","8,92","0,15"
28,"315,73","8,93","0,15"
29,"324,66","8,93","0,15"
30,"333,58","8,92","0,15"
