Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"108,04","108,04","1,80"
2,"138,70","30,66","0,51"
3,"169,22","30,52","0,51"
4,"199,76","30,54","0,51"
5,"230,30","30,54","0,51"
6,"260,90","30,60","0,51"
7,"291,37","30,47","0,51"
8,"321,84","30,47","0,51"
9,"352,40","30,56","0,51"
10,"382,98","30,58","0,51"
11,"413,54","30,56","0,51"
12,"444,24","30,70","0,51"
13,"474,72","30,48","0,51"
14,"505,34","30,62","0,51"
15,"535,86","30,52","0,51"
16,"566,50","30,64","0,51"
17,"596,84","30,34","0,51"
18,"627,31","30,47","0,51"
19,"657,76","30,45","0,51"
20,"688,22","30,46","0,51"
21,"718,82","30,60","0,51"
22,"749,21","30,39","0,51"
23,"779,64","30,43","0,51"
24,"810,05","30,41","0,51"
25,"840,61","30,56","0,51"
26,"871,10","30,49","0,51"
27,"901,62","30,52","0,51"
28,"932,09","30,47","0,51"
29,"962,63","30,54","0,51"
30,"993,04","30,41","0,51"
