Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"5,01","5,01","0,08"
2,"9,90","4,89","0,08"
3,"14,79","4,89","0,08"
4,"19,66","4,87","0,08"
5,"24,55","4,89","0,08"
6,"29,41","4,86","0,08"
7,"34,31","4,90","0,08"
8,"39,20","4,89","0,08"
9,"44,08","4,88","0,08"
10,"48,95","4,87","0,08"
11,"53,85","4,90","0,08"
12,"58,71","4,86","0,08"
13,"63,60","4,89","0,08"
14,"68,48","4,88","0,08"
15,"73,35","4,87","0,08"
16,"78,23","4,88","0,08"
17,"83,11","4,88","0,08"
18,"87,98","4,87","0,08"
19,"92,89","4,91","0,08"
20,"97,76","4,87","0,08"
21,"102,62","4,86","0,08"
22,"107,51","4,89","0,08"
23,"112,38","4,87","0,08"
24,"117,27","4,89","0,08"
25,"122,19","4,92","0,08"
26,"127,08","4,89","0,08"
27,"132,20","5,12","0,09"
28,"137,44","5,24","0,09"
29,"142,44","5,00","0,08"
30,"147,35","4,91","0,08"
