Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"46,36","46,36","0,77"
2,"92,51","46,15","1,60"
3,"138,76","46,25","0,08"
4,"184,92","46,16","0,08"
5,"231,15","46,23","0,08"
6,"277,33","46,18","0,08"
7,"323,52","46,19","0,08"
8,"369,74","46,22","0,08"
9,"415,89","46,15","0,08"
10,"462,08","46,19","0,08"
11,"508,31","46,23","0,08"
12,"554,59","46,28","0,08"
13,"600,72","46,13","0,08"
14,"646,94","46,22","0,08"
15,"693,20","46,26","0,08"
16,"740,05","46,85","0,08"
17,"786,44","46,39","0,08"
18,"833,14","46,70","0,08"
19,"879,41","46,27","0,08"
20,"925,84","46,43","0,08"
21,"972,00","46,16","0,08"
22,"1.018,25","46,25","0,08"
23,"1.064,59","46,34","0,08"
24,"1.111,08","46,49","0,08"
25,"1.157,56","46,48","0,08"
26,"1.204,09","46,53","0,08"
27,"1.250,44","46,35","0,09"
28,"1.296,72","46,28","0,09"
29,"1.342,67","45,95","0,08"
30,"1.388,82","46,15","0,08"
