iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"93,08","93,08","1,55"
2,"176,71","83,63","1,39"
3,"214,65","37,94","0,63"
4,"241,31","26,66","0,44"
5,"268,03","26,72","0,45"
6,"294,29","26,26","0,44"
7,"320,71","26,42","0,44"
8,"347,45","26,74","0,45"
9,"373,64","26,19","0,44"
10,"399,87","26,23","0,44"
11,"426,00","26,13","0,44"
12,"452,13","26,13","0,44"
13,"478,23","26,10","0,44"
14,"504,39","26,16","0,44"
15,"530,43","26,04","0,43"
16,"556,45","26,02","0,43"
17,"582,69","26,24","0,44"
18,"608,87","26,18","0,44"
19,"634,90","26,03","0,43"
20,"660,96","26,06","0,43"
21,"686,87","25,91","0,43"
22,"712,95","26,08","0,43"
23,"739,05","26,10","0,43"
24,"765,23","26,18","0,44"
25,"791,55","26,32","0,44"
26,"817,79","26,24","0,44"
27,"843,96","26,17","0,44"
28,"870,21","26,25","0,44"
29,"896,44","26,23","0,44"
30,"922,45","26,01","0,43"
