iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"76,83","76,83","1,28"
2,"97,71","20,88","0,35"
3,"103,88","6,17","0,10"
4,"116,24","12,36","0,21"
5,"119,59","3,35","0,06"
6,"123,01","3,42","0,06"
7,"146,94","23,93","0,40"
8,"154,71","7,77","0,13"
9,"157,33","2,62","0,04"
10,"159,94","2,61","0,04"
11,"162,44","2,50","0,04"
12,"164,99","2,55","0,04"
13,"167,44","2,45","0,04"
14,"169,95","2,51","0,04"
15,"172,40","2,45","0,04"
16,"174,92","2,52","0,04"
17,"177,36","2,44","0,04"
18,"179,88","2,52","0,04"
19,"182,32","2,44","0,04"
20,"184,82","2,50","0,04"
21,"187,27","2,45","0,04"
22,"189,78","2,51","0,04"
23,"192,23","2,45","0,04"
24,"194,75","2,52","0,04"
25,"197,19","2,44","0,04"
26,"199,70","2,51","0,04"
27,"202,16","2,46","0,04"
28,"204,67","2,51","0,04"
29,"207,12","2,45","0,04"
30,"209,63","2,51","0,04"
