Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"41,98","41,98","0,70"
2,"62,58","20,60","0,34"
3,"83,22","20,64","0,34"
4,"103,90","20,68","0,34"
5,"124,63","20,73","0,35"
6,"145,32","20,69","0,34"
7,"165,99","20,67","0,34"
8,"186,71","20,72","0,35"
9,"207,38","20,67","0,34"
10,"227,98","20,60","0,34"
11,"248,58","20,60","0,34"
12,"269,23","20,65","0,34"
13,"289,90","20,67","0,34"
14,"310,48","20,58","0,34"
15,"331,17","20,69","0,34"
16,"351,75","20,58","0,34"
17,"372,44","20,69","0,34"
18,"393,08","20,64","0,34"
19,"413,67","20,59","0,34"
20,"434,36","20,69","0,34"
21,"454,97","20,61","0,34"
22,"475,65","20,68","0,34"
23,"496,34","20,69","0,34"
24,"516,97","20,63","0,34"
25,"537,61","20,64","0,34"
26,"558,37","20,76","0,35"
27,"579,02","20,65","0,34"
28,"599,64","20,62","0,34"
29,"620,36","20,72","0,35"
30,"641,10","20,74","0,35"
