iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"9,34","9,34","0,16"
2,"10,52","1,18","0,02"
3,"11,61","1,09","0,02"
4,"12,70","1,09","0,02"
5,"13,79","1,09","0,02"
6,"14,88","1,09","0,02"
7,"15,96","1,08","0,02"
8,"17,05","1,09","0,02"
9,"18,15","1,10","0,02"
10,"19,25","1,10","0,02"
11,"20,35","1,10","0,02"
12,"21,45","1,10","0,02"
13,"22,54","1,09","0,02"
14,"23,64","1,10","0,02"
15,"24,74","1,10","0,02"
16,"25,84","1,10","0,02"
17,"26,94","1,10","0,02"
18,"28,02","1,08","0,02"
19,"29,10","1,08","0,02"
20,"30,18","1,08","0,02"
21,"31,28","1,10","0,02"
22,"32,37","1,09","0,02"
23,"33,46","1,09","0,02"
24,"34,55","1,09","0,02"
25,"35,64","1,09","0,02"
26,"36,70","1,06","0,02"
27,"37,78","1,08","0,02"
28,"38,87","1,09","0,02"
29,"39,95","1,08","0,02"
30,"41,04","1,09","0,02"
