iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"31,63","31,63","0,53"
2,"34,01","2,38","0,65"
3,"36,35","2,34","0,65"
4,"38,69","2,34","0,65"
5,"41,03","2,34","0,65"
6,"43,37","2,34","0,65"
7,"45,71","2,34","0,65"
8,"48,05","2,34","0,65"
9,"50,39","2,34","0,65"
10,"52,73","2,34","0,65"
11,"55,08","2,35","0,65"
12,"57,42","2,34","0,65"
13,"59,76","2,34","0,65"
14,"62,11","2,35","0,65"
15,"64,45","2,34","0,66"
16,"66,79","2,34","0,65"
17,"69,13","2,34","0,65"
18,"71,48","2,35","0,65"
19,"73,82","2,34","0,66"
20,"76,16","2,34","0,65"
21,"78,51","2,35","0,65"
22,"80,85","2,34","0,65"
23,"83,20","2,35","0,65"
24,"85,54","2,34","0,65"
25,"87,88","2,34","0,65"
26,"90,23","2,35","0,65"
27,"92,57","2,34","0,65"
28,"94,92","2,35","0,65"
29,"97,26","2,34","0,65"
30,"99,61","2,35","0,65"
