iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"3,26","3,26","0,05"
2,"6,54","3,28","0,05"
3,"9,89","3,35","0,06"
4,"13,26","3,37","0,06"
5,"16,46","3,20","0,05"
6,"19,69","3,23","0,05"
7,"22,76","3,07","0,05"
8,"25,91","3,15","0,05"
9,"29,16","3,25","0,05"
10,"32,39","3,23","0,05"
11,"35,77","3,38","0,06"
12,"39,48","3,71","0,06"
13,"42,92","3,44","0,06"
14,"46,38","3,46","0,06"
15,"49,77","3,39","0,06"
16,"53,18","3,41","0,06"
17,"56,58","3,40","0,06"
18,"60,00","3,42","0,06"
19,"63,50","3,50","0,06"
20,"66,90","3,40","0,06"
21,"70,36","3,46","0,06"
22,"77,36","7,00","0,12"
23,"84,79","7,43","0,12"
24,"88,21","3,42","0,06"
25,"91,61","3,40","0,06"
26,"95,02","3,41","0,06"
27,"98,52","3,50","0,06"
28,"101,95","3,43","0,06"
29,"105,39","3,44","0,06"
30,"108,80","3,41","0,06"
