Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"17,55","17,55","0,29"
2,"21,02","3,47","0,06"
3,"24,41","3,39","0,06"
4,"27,81","3,40","0,06"
5,"31,23","3,42","0,06"
6,"34,63","3,40","0,06"
7,"38,05","3,42","0,06"
8,"41,45","3,40","0,06"
9,"44,88","3,43","0,06"
10,"48,31","3,43","0,06"
11,"51,72","3,41","0,06"
12,"55,12","3,40","0,06"
13,"58,51","3,39","0,06"
14,"61,90","3,39","0,06"
15,"65,30","3,40","0,06"
16,"68,69","3,39","0,06"
17,"72,09","3,40","0,06"
18,"75,49","3,40","0,06"
19,"78,90","3,41","0,06"
20,"82,29","3,39","0,06"
21,"85,68","3,39","0,06"
22,"89,03","3,35","0,06"
23,"92,35","3,32","0,06"
24,"95,66","3,31","0,06"
25,"98,98","3,32","0,06"
26,"102,30","3,32","0,06"
27,"105,62","3,32","0,06"
28,"108,94","3,32","0,06"
29,"112,25","3,31","0,06"
30,"115,57","3,32","0,06"
