iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"364,07","364,07","6,07"
2,"745,92","381,85","6,36"
3,"1.122,84","376,92","6,28"
4,"1.499,56","376,72","6,28"
5,"1.877,39","377,83","6,30"
6,"2.256,04","378,65","6,31"
7,"2.633,78","377,74","6,30"
8,"3.013,05","379,27","6,32"
9,"3.391,50","378,45","6,31"
10,"3.770,49","378,99","6,32"
11,"4.148,63","378,14","6,30"
12,"4.527,85","379,22","6,32"
13,"4.905,08","377,23","6,29"
14,"5.282,14","377,06","6,28"
15,"5.659,52","377,38","6,29"
16,"6.037,71","378,19","6,30"
17,"6.415,42","377,71","6,30"
18,"6.792,98","377,56","6,29"
19,"7.170,27","377,29","6,29"
20,"7.548,08","377,81","6,30"
21,"7.925,23","377,15","6,29"
22,"8.302,90","377,67","6,29"
23,"8.679,90","377,00","6,28"
24,"9.057,40","377,50","6,29"
25,"9.435,43","378,03","6,30"
26,"9.812,83","377,40","6,29"
27,"10.190,76","377,93","6,30"
28,"10.569,26","378,50","6,31"
29,"10.946,28","377,02","6,28"
30,"11.323,83","377,55","6,29"
