iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"2,66","2,66","0,04"
2,"5,32","2,66","0,04"
3,"7,98","2,66","0,04"
4,"10,64","2,66","0,04"
5,"13,30","2,66","0,04"
6,"15,97","2,67","0,04"
7,"18,60","2,63","0,04"
8,"21,27","2,67","0,04"
9,"23,93","2,66","0,04"
10,"26,60","2,67","0,04"
11,"29,26","2,66","0,04"
12,"31,89","2,63","0,04"
13,"34,55","2,66","0,04"
14,"37,21","2,66","0,04"
15,"39,88","2,67","0,04"
16,"42,53","2,65","0,04"
17,"45,17","2,64","0,04"
18,"47,84","2,67","0,04"
19,"50,50","2,66","0,04"
20,"53,14","2,64","0,04"
21,"55,81","2,67","0,04"
22,"58,47","2,66","0,04"
23,"61,16","2,69","0,04"
24,"63,83","2,67","0,04"
25,"66,50","2,67","0,04"
26,"69,18","2,68","0,04"
27,"71,85","2,67","0,04"
28,"74,53","2,68","0,04"
29,"77,20","2,67","0,04"
30,"79,87","2,67","0,04"
,"41,22","2,66","0,04"
