iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"2,62","2,62","0,04"
2,"5,21","2,59","0,04"
3,"7,82","2,61","0,04"
4,"10,41","2,59","0,04"
5,"13,00","2,59","0,04"
6,"15,62","2,62","0,04"
7,"18,21","2,59","0,04"
8,"20,81","2,60","0,04"
9,"23,42","2,61","0,04"
10,"26,03","2,61","0,04"
11,"28,63","2,60","0,04"
12,"31,23","2,60","0,04"
13,"33,83","2,60","0,04"
14,"36,42","2,59","0,04"
15,"39,01","2,59","0,04"
16,"41,62","2,61","0,04"
17,"44,22","2,60","0,04"
18,"46,83","2,61","0,04"
19,"49,43","2,60","0,04"
20,"52,04","2,61","0,04"
21,"54,65","2,61","0,04"
22,"57,24","2,59","0,04"
23,"59,84","2,60","0,04"
24,"62,45","2,61","0,04"
25,"65,05","2,60","0,04"
26,"67,66","2,61","0,04"
27,"70,26","2,60","0,04"
28,"72,85","2,59","0,04"
29,"75,41","2,56","0,04"
30,"77,98","2,57","0,04"
,"40,33","2,60","0,04"
