iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,19","0,19","0,00"
2,"0,38","0,19","0,00"
3,"0,56","0,18","0,00"
4,"0,76","0,20","0,00"
5,"0,94","0,18","0,00"
6,"1,12","0,18","0,00"
7,"1,48","0,36","0,01"
8,"1,64","0,16","0,00"
9,"1,80","0,16","0,00"
10,"1,96","0,16","0,00"
11,"2,12","0,16","0,00"
12,"2,28","0,16","0,00"
13,"2,44","0,16","0,00"
14,"2,60","0,16","0,00"
15,"2,76","0,16","0,00"
16,"2,92","0,16","0,00"
17,"3,08","0,16","0,00"
18,"3,24","0,16","0,00"
19,"3,40","0,16","0,00"
20,"3,56","0,16","0,00"
21,"3,72","0,16","0,00"
22,"3,88","0,16","0,00"
23,"4,04","0,16","0,00"
24,"4,20","0,16","0,00"
25,"4,36","0,16","0,00"
26,"4,52","0,16","0,00"
27,"4,68","0,16","0,00"
28,"4,84","0,16","0,00"
29,"5,00","0,16","0,00"
30,"5,16","0,16","0,00"
,"2,79","0,17","0,00"
