iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,81","1,81","0,03"
2,"3,60","1,79","0,03"
3,"5,37","1,77","0,03"
4,"7,17","1,80","0,03"
5,"8,93","1,76","0,03"
6,"10,69","1,76","0,03"
7,"12,48","1,79","0,03"
8,"14,28","1,80","0,03"
9,"16,08","1,80","0,03"
10,"17,87","1,79","0,03"
11,"19,63","1,76","0,03"
12,"21,44","1,81","0,03"
13,"23,20","1,76","0,03"
14,"24,98","1,78","0,03"
15,"26,77","1,79","0,03"
16,"28,53","1,76","0,03"
17,"30,29","1,76","0,03"
18,"32,06","1,77","0,03"
19,"33,82","1,76","0,03"
20,"35,62","1,80","0,03"
21,"37,39","1,77","0,03"
22,"39,15","1,76","0,03"
23,"40,92","1,77","0,03"
24,"42,69","1,77","0,03"
25,"44,47","1,78","0,03"
26,"46,28","1,81","0,03"
27,"48,05","1,77","0,03"
28,"49,86","1,81","0,03"
29,"51,64","1,78","0,03"
30,"53,42","1,78","0,03"
,"27,62","1,78","0,03"
