iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,91","1,91","0,03"
2,"3,30","1,39","0,02"
3,"4,62","1,32","0,02"
4,"5,88","1,26","0,02"
5,"6,99","1,11","0,02"
6,"8,10","1,11","0,02"
7,"9,29","1,19","0,02"
8,"10,35","1,06","0,02"
9,"11,41","1,06","0,02"
10,"12,48","1,07","0,02"
11,"13,54","1,06","0,02"
12,"14,60","1,06","0,02"
13,"15,66","1,06","0,02"
14,"16,72","1,06","0,02"
15,"17,77","1,05","0,02"
16,"18,81","1,04","0,02"
17,"19,86","1,05","0,02"
18,"20,90","1,04","0,02"
19,"21,94","1,04","0,02"
20,"22,98","1,04","0,02"
21,"24,03","1,05","0,02"
22,"25,07","1,04","0,02"
23,"26,11","1,04","0,02"
24,"27,15","1,04","0,02"
25,"28,19","1,04","0,02"
26,"29,24","1,05","0,02"
27,"30,28","1,04","0,02"
28,"31,32","1,04","0,02"
29,"32,36","1,04","0,02"
30,"33,41","1,05","0,02"
,"18,14","1,11","0,02"
