iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"15,33","15,33","0,26"
2,"25,98","10,65","0,18"
3,"36,24","10,26","0,17"
4,"46,45","10,21","0,17"
5,"55,32","8,87","0,15"
6,"64,13","8,81","0,15"
7,"73,83","9,70","0,16"
8,"82,42","8,59","0,14"
9,"91,06","8,64","0,14"
10,"99,70","8,64","0,14"
11,"108,34","8,64","0,14"
12,"116,96","8,62","0,14"
13,"125,60","8,64","0,14"
14,"134,22","8,62","0,14"
15,"142,84","8,62","0,14"
16,"151,52","8,68","0,14"
17,"160,13","8,61","0,14"
18,"168,77","8,64","0,14"
19,"177,39","8,62","0,14"
20,"186,03","8,64","0,14"
21,"194,66","8,63","0,14"
22,"203,28","8,62","0,14"
23,"211,92","8,64","0,14"
24,"220,55","8,63","0,14"
25,"229,17","8,62","0,14"
26,"237,80","8,63","0,14"
27,"246,41","8,61","0,14"
28,"255,03","8,62","0,14"
29,"263,67","8,64","0,14"
30,"272,31","8,64","0,14"
