iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,37","0,37","0,01"
2,"0,80","0,43","0,01"
3,"1,16","0,36","0,01"
4,"1,47","0,31","0,01"
5,"1,78","0,31","0,01"
6,"2,10","0,32","0,01"
7,"2,41","0,31","0,01"
8,"2,72","0,31","0,01"
9,"3,03","0,31","0,01"
10,"3,33","0,30","0,01"
11,"3,64","0,31","0,01"
12,"3,94","0,30","0,00"
13,"4,25","0,31","0,01"
14,"4,56","0,31","0,01"
15,"4,86","0,30","0,00"
16,"5,17","0,31","0,01"
17,"5,47","0,30","0,00"
18,"5,78","0,31","0,01"
19,"6,09","0,31","0,01"
20,"6,39","0,30","0,00"
21,"6,70","0,31","0,01"
22,"7,01","0,31","0,01"
23,"7,31","0,30","0,00"
24,"7,62","0,31","0,01"
25,"7,93","0,31","0,01"
26,"8,23","0,30","0,01"
27,"8,54","0,31","0,01"
28,"8,84","0,30","0,01"
29,"9,15","0,31","0,01"
30,"9,45","0,30","0,00"
,"5,00","0,32","0,01"
