iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"39,42","39,42","0,66"
2,"46,03","6,61","0,11"
3,"52,79","6,76","0,11"
4,"59,45","6,66","0,11"
5,"65,88","6,43","0,11"
6,"72,37","6,49","0,11"
7,"79,18","6,81","0,11"
8,"85,27","6,09","0,10"
9,"91,36","6,09","0,10"
10,"97,44","6,08","0,10"
11,"103,53","6,09","0,10"
12,"109,60","6,07","0,10"
13,"115,68","6,08","0,10"
14,"121,77","6,09","0,10"
15,"127,85","6,08","0,10"
16,"133,94","6,09","0,10"
17,"140,02","6,08","0,10"
18,"146,11","6,09","0,10"
19,"152,21","6,10","0,10"
20,"158,28","6,07","0,10"
21,"164,38","6,10","0,10"
22,"170,46","6,08","0,10"
23,"176,55","6,09","0,10"
24,"182,64","6,09","0,10"
25,"188,73","6,09","0,10"
26,"194,81","6,08","0,10"
27,"200,90","6,09","0,10"
28,"206,98","6,08","0,10"
29,"213,07","6,09","0,10"
30,"219,15","6,08","0,10"
