iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"2,41","2,41","0,04"
2,"4,80","2,39","0,04"
3,"7,19","2,39","0,04"
4,"9,58","2,39","0,04"
5,"11,97","2,39","0,04"
6,"14,36","2,39","0,04"
7,"16,75","2,39","0,04"
8,"19,15","2,40","0,04"
9,"21,55","2,40","0,04"
10,"23,94","2,39","0,04"
11,"26,33","2,39","0,04"
12,"28,72","2,39","0,04"
13,"31,12","2,40","0,04"
14,"33,50","2,38","0,04"
15,"35,88","2,38","0,04"
16,"38,27","2,39","0,04"
17,"40,65","2,38","0,04"
18,"43,04","2,39","0,04"
19,"45,43","2,39","0,04"
20,"47,82","2,39","0,04"
21,"50,22","2,40","0,04"
22,"52,60","2,38","0,04"
23,"55,00","2,40","0,04"
24,"57,39","2,39","0,04"
25,"59,79","2,40","0,04"
26,"62,18","2,39","0,04"
27,"64,57","2,39","0,04"
28,"66,97","2,40","0,04"
29,"69,40","2,43","0,04"
30,"71,81","2,41","0,04"
,"37,08","2,39","0,04"
