iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,14","0,14","0,00"
2,"0,25","0,11","0,00"
3,"0,35","0,10","0,00"
4,"0,46","0,11","0,00"
5,"0,56","0,10","0,00"
6,"0,66","0,10","0,00"
7,"0,77","0,11","0,00"
8,"0,87","0,10","0,00"
9,"0,97","0,10","0,00"
10,"1,08","0,11","0,00"
11,"1,18","0,10","0,00"
12,"1,29","0,11","0,00"
13,"1,39","0,10","0,00"
14,"1,49","0,10","0,00"
15,"1,60","0,11","0,00"
16,"1,70","0,10","0,00"
17,"1,80","0,10","0,00"
18,"1,91","0,11","0,00"
19,"2,01","0,10","0,00"
20,"2,11","0,10","0,00"
21,"2,22","0,11","0,00"
22,"2,32","0,10","0,00"
23,"2,42","0,10","0,00"
24,"2,53","0,11","0,00"
25,"2,63","0,10","0,00"
26,"2,73","0,10","0,00"
27,"2,84","0,11","0,00"
28,"2,94","0,10","0,00"
29,"3,05","0,11","0,00"
30,"3,15","0,10","0,00"
,"1,65","0,11","0,00"
