iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"3,81","3,81","0,06"
2,"5,50","1,69","0,03"
3,"7,19","1,69","0,03"
4,"8,87","1,68","0,03"
5,"10,56","1,69","0,03"
6,"12,25","1,69","0,03"
7,"13,95","1,70","0,03"
8,"15,63","1,68","0,03"
9,"17,33","1,70","0,03"
10,"19,02","1,69","0,03"
11,"20,70","1,68","0,03"
12,"22,39","1,69","0,03"
13,"24,08","1,69","0,03"
14,"25,77","1,69","0,03"
15,"27,46","1,69","0,03"
16,"29,15","1,69","0,03"
17,"30,83","1,68","0,03"
18,"32,52","1,69","0,03"
19,"34,21","1,69","0,03"
20,"35,90","1,69","0,03"
21,"37,60","1,70","0,03"
22,"39,29","1,69","0,03"
23,"40,97","1,68","0,03"
24,"42,66","1,69","0,03"
25,"44,36","1,70","0,03"
26,"46,05","1,69","0,03"
27,"47,74","1,69","0,03"
28,"49,43","1,69","0,03"
29,"51,11","1,68","0,03"
30,"52,80","1,69","0,03"
