iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,15","1,15","0,02"
2,"2,36","1,21","0,02"
3,"3,70","1,34","0,02"
4,"5,38","1,68","0,03"
5,"6,51","1,13","0,02"
6,"7,63","1,12","0,02"
7,"9,57","1,94","0,03"
8,"10,66","1,09","0,02"
9,"11,73","1,07","0,02"
10,"12,82","1,09","0,02"
11,"13,90","1,08","0,02"
12,"14,98","1,08","0,02"
13,"16,06","1,08","0,02"
14,"17,13","1,07","0,02"
15,"18,21","1,08","0,02"
16,"19,29","1,08","0,02"
17,"20,38","1,09","0,02"
18,"21,46","1,08","0,02"
19,"22,53","1,07","0,02"
20,"23,61","1,08","0,02"
21,"24,69","1,08","0,02"
22,"25,77","1,08","0,02"
23,"26,85","1,08","0,02"
24,"27,93","1,08","0,02"
25,"29,03","1,10","0,02"
26,"30,13","1,10","0,02"
27,"31,24","1,11","0,02"
28,"32,35","1,11","0,02"
29,"33,45","1,10","0,02"
30,"34,56","1,11","0,02"
,"18,50","1,15","0,02"
