iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,30","0,30","0,01"
2,"0,61","0,31","0,01"
3,"0,94","0,33","0,01"
4,"1,36","0,42","0,01"
5,"1,60","0,24","0,00"
6,"1,83","0,23","0,00"
7,"2,36","0,53","0,01"
8,"2,55","0,19","0,00"
9,"2,74","0,19","0,00"
10,"2,92","0,18","0,00"
11,"3,12","0,20","0,00"
12,"3,30","0,18","0,00"
13,"3,49","0,19","0,00"
14,"3,67","0,18","0,00"
15,"3,86","0,19","0,00"
16,"4,04","0,18","0,00"
17,"4,22","0,18","0,00"
18,"4,41","0,19","0,00"
19,"4,59","0,18","0,00"
20,"4,78","0,19","0,00"
21,"4,96","0,18","0,00"
22,"5,14","0,18","0,00"
23,"5,33","0,19","0,00"
24,"5,51","0,18","0,00"
25,"5,70","0,19","0,00"
26,"5,88","0,18","0,00"
27,"6,06","0,18","0,00"
28,"6,25","0,19","0,00"
29,"6,43","0,18","0,00"
30,"6,62","0,19","0,00"
,"3,82","0,22","0,00"
