iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"48,39","48,39","0,81"
2,"58,97","10,58","0,18"
3,"69,54","10,57","0,18"
4,"80,18","10,64","0,18"
5,"90,51","10,33","0,17"
6,"100,79","10,28","0,17"
7,"111,81","11,02","0,18"
8,"121,83","10,02","0,17"
9,"131,88","10,05","0,17"
10,"141,90","10,02","0,17"
11,"151,96","10,06","0,17"
12,"162,00","10,04","0,17"
13,"172,05","10,05","0,17"
14,"182,08","10,03","0,17"
15,"192,14","10,06","0,17"
16,"202,18","10,04","0,17"
17,"212,22","10,04","0,17"
18,"222,27","10,05","0,17"
19,"232,34","10,07","0,17"
20,"242,37","10,03","0,17"
21,"252,49","10,12","0,17"
22,"262,56","10,07","0,17"
23,"272,66","10,10","0,17"
24,"282,74","10,08","0,17"
25,"292,83","10,09","0,17"
26,"302,91","10,08","0,17"
27,"312,99","10,08","0,17"
28,"323,06","10,07","0,17"
29,"333,15","10,09","0,17"
30,"343,22","10,07","0,17"
