iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"112,77","112,77","1,88"
2,"218,69","105,92","1,77"
3,"323,72","105,03","1,75"
4,"430,62","106,90","1,78"
5,"534,64","104,02","1,73"
6,"639,06","104,42","1,74"
7,"743,77","104,71","1,75"
8,"847,89","104,12","1,74"
9,"951,98","104,09","1,73"
10,"1.059,03","107,05","1,78"
11,"1.168,50","109,47","1,82"
12,"1.277,22","108,72","1,81"
13,"1.387,64","110,42","1,84"
14,"1.496,82","109,18","1,82"
15,"1.609,53","112,71","1,88"
16,"1.719,54","110,01","1,83"
17,"1.823,64","104,10","1,74"
18,"1.927,69","104,05","1,73"
19,"2.031,85","104,16","1,74"
20,"2.135,50","103,65","1,73"
21,"2.239,75","104,25","1,74"
22,"2.344,26","104,51","1,74"
23,"2.448,57","104,31","1,74"
24,"2.552,94","104,37","1,74"
25,"2.657,22","104,28","1,74"
26,"2.761,16","103,94","1,73"
27,"2.864,68","103,52","1,73"
28,"2.968,64","103,96","1,73"
29,"3.072,77","104,13","1,74"
30,"3.176,63","103,86","1,73"
