iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"191,41","191,41","3,19"
2,"343,13","151,72","2,53"
3,"499,18","156,05","2,60"
4,"657,55","158,37","2,64"
5,"810,22","152,67","2,54"
6,"966,13","155,91","2,60"
7,"1.111,15","145,02","2,42"
8,"1.257,28","146,13","2,44"
9,"1.404,17","146,89","2,45"
10,"1.551,00","146,83","2,45"
11,"1.696,67","145,67","2,43"
12,"1.841,79","145,12","2,42"
13,"1.996,54","154,75","2,58"
14,"2.142,92","146,38","2,44"
15,"2.288,41","145,49","2,42"
16,"2.434,82","146,41","2,44"
17,"2.589,96","155,14","2,59"
18,"2.735,49","145,53","2,43"
19,"2.891,13","155,64","2,59"
20,"3.037,76","146,63","2,44"
21,"3.184,50","146,74","2,45"
22,"3.343,73","159,23","2,65"
23,"3.492,14","148,41","2,47"
24,"3.648,31","156,17","2,60"
25,"3.794,98","146,67","2,44"
26,"3.946,96","151,98","2,53"
27,"4.094,45","147,49","2,46"
28,"4.240,32","145,87","2,43"
29,"4.386,22","145,90","2,43"
30,"4.538,04","151,82","2,53"
