iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"2,88","2,88","0,05"
2,"5,76","2,88","0,05"
3,"8,64","2,88","0,05"
4,"11,52","2,88","0,05"
5,"14,40","2,88","0,05"
6,"17,28","2,88","0,05"
7,"20,15","2,87","0,05"
8,"23,03","2,88","0,05"
9,"25,90","2,87","0,05"
10,"28,78","2,88","0,05"
11,"31,66","2,88","0,05"
12,"34,54","2,88","0,05"
13,"37,40","2,86","0,05"
14,"40,28","2,88","0,05"
15,"43,16","2,88","0,05"
16,"46,03","2,87","0,05"
17,"48,90","2,87","0,05"
18,"51,78","2,88","0,05"
19,"54,65","2,87","0,05"
20,"57,52","2,87","0,05"
21,"60,40","2,88","0,05"
22,"63,27","2,87","0,05"
23,"66,15","2,88","0,05"
24,"69,02","2,87","0,05"
25,"71,90","2,88","0,05"
26,"74,77","2,87","0,05"
27,"77,64","2,87","0,05"
28,"80,52","2,88","0,05"
29,"83,42","2,90","0,05"
30,"86,33","2,91","0,05"
,"44,59","2,88","0,05"
