iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,45","0,45","0,01"
2,"0,72","0,27","0,00"
3,"0,98","0,26","0,00"
4,"1,23","0,25","0,00"
5,"1,49","0,26","0,00"
6,"1,75","0,26","0,00"
7,"2,01","0,26","0,00"
8,"2,27","0,26","0,00"
9,"2,53","0,26","0,00"
10,"2,79","0,26","0,00"
11,"3,05","0,26","0,00"
12,"3,31","0,26","0,00"
13,"3,57","0,26","0,00"
14,"3,83","0,26","0,00"
15,"4,09","0,26","0,00"
16,"4,35","0,26","0,00"
17,"4,61","0,26","0,00"
18,"4,87","0,26","0,00"
19,"5,13","0,26","0,00"
20,"5,39","0,26","0,00"
21,"5,65","0,26","0,00"
22,"5,91","0,26","0,00"
23,"6,17","0,26","0,00"
24,"6,43","0,26","0,00"
25,"6,68","0,25","0,00"
26,"6,94","0,26","0,00"
27,"7,20","0,26","0,00"
28,"7,46","0,26","0,00"
29,"7,72","0,26","0,00"
30,"7,98","0,26","0,00"
,"4,22","0,27","0,00"
