iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,29","0,29","0,00"
2,"0,44","0,15","0,00"
3,"0,57","0,13","0,00"
4,"0,69","0,12","0,00"
5,"0,80","0,11","0,00"
6,"0,92","0,12","0,00"
7,"1,04","0,12","0,00"
8,"1,15","0,11","0,00"
9,"1,27","0,12","0,00"
10,"1,39","0,12","0,00"
11,"1,50","0,11","0,00"
12,"1,62","0,12","0,00"
13,"1,73","0,11","0,00"
14,"1,85","0,12","0,00"
15,"1,97","0,12","0,00"
16,"2,08","0,11","0,00"
17,"2,20","0,12","0,00"
18,"2,31","0,11","0,00"
19,"2,43","0,12","0,00"
20,"2,55","0,12","0,00"
21,"2,67","0,12","0,00"
22,"2,78","0,11","0,00"
23,"2,90","0,12","0,00"
24,"3,02","0,12","0,00"
25,"3,13","0,11","0,00"
26,"3,25","0,12","0,00"
27,"3,36","0,11","0,00"
28,"3,48","0,12","0,00"
29,"3,59","0,11","0,00"
30,"3,71","0,12","0,00"
,"2,02","0,12","0,00"
