iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"13,88","13,88","0,23"
2,"27,67","13,79","0,23"
3,"41,52","13,85","0,23"
4,"55,37","13,85","0,23"
5,"69,15","13,78","0,23"
6,"82,98","13,83","0,23"
7,"96,81","13,83","0,23"
8,"110,67","13,86","0,23"
9,"124,5","13,83","0,23"
10,"138,3","13,8","0,23"
11,"152,11","13,81","0,23"
12,"165,89","13,78","0,23"
13,"179,73","13,84","0,23"
14,"193,56","13,83","0,23"
15,"207,35","13,79","0,23"
16,"221,14","13,79","0,23"
17,"234,99","13,85","0,23"
18,"248,84","13,85","0,23"
19,"262,76","13,92","0,23"
20,"276,66","13,9","0,23"
21,"290,49","13,83","0,23"
22,"304,33","13,84","0,23"
23,"318,15","13,82","0,23"
24,"332,03","13,88","0,23"
25,"345,87","13,84","0,23"
26,"359,69","13,82","0,23"
27,"373,51","13,82","0,23"
28,"387,31","13,8","0,23"
29,"401,12","13,81","0,23"
30,"414,9","13,78","0,23"
