iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,39","1,39","0,02"
2,"2,17","0,78","0,01"
3,"2,97","0,80","0,01"
4,"3,81","0,84","0,01"
5,"4,60","0,79","0,01"
6,"5,38","0,78","0,01"
7,"6,27","0,89","0,01"
8,"7,05","0,78","0,01"
9,"7,83","0,78","0,01"
10,"8,62","0,79","0,01"
11,"9,41","0,79","0,01"
12,"10,20","0,79","0,01"
13,"10,98","0,78","0,01"
14,"11,77","0,79","0,01"
15,"12,55","0,78","0,01"
16,"13,33","0,78","0,01"
17,"14,11","0,78","0,01"
18,"14,90","0,79","0,01"
19,"15,69","0,79","0,01"
20,"16,47","0,78","0,01"
21,"17,25","0,78","0,01"
22,"18,03","0,78","0,01"
23,"18,83","0,80","0,01"
24,"19,61","0,78","0,01"
25,"20,39","0,78","0,01"
26,"21,17","0,78","0,01"
27,"21,95","0,78","0,01"
28,"22,73","0,78","0,01"
29,"23,52","0,79","0,01"
30,"24,30","0,78","0,01"
,"12,91","0,81","0,01"
