iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,53","1,53","0,03"
2,"3,05","1,52","0,03"
3,"4,57","1,52","0,03"
4,"6,11","1,54","0,03"
5,"7,63","1,52","0,03"
6,"9,15","1,52","0,03"
7,"10,66","1,51","0,03"
8,"12,17","1,51","0,03"
9,"13,68","1,51","0,03"
10,"15,18","1,50","0,03"
11,"16,69","1,51","0,03"
12,"18,20","1,51","0,03"
13,"19,71","1,51","0,03"
14,"21,21","1,50","0,03"
15,"22,71","1,50","0,03"
16,"24,20","1,49","0,02"
17,"25,70","1,50","0,03"
18,"27,20","1,50","0,03"
19,"28,73","1,53","0,03"
20,"30,27","1,54","0,03"
21,"31,81","1,54","0,03"
22,"33,34","1,53","0,03"
23,"34,88","1,54","0,03"
24,"36,41","1,53","0,03"
25,"37,92","1,51","0,03"
26,"39,42","1,50","0,03"
27,"40,93","1,51","0,03"
28,"42,44","1,51","0,03"
29,"43,94","1,50","0,03"
30,"45,45","1,51","0,03"
,,"1,515",
