iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"4,74","4,74","0,08"
2,"9,2","4,46","0,07"
3,"13,66","4,46","0,07"
4,"18,12","4,46","0,07"
5,"22,57","4,45","0,07"
6,"27,01","4,44","0,07"
7,"31,47","4,46","0,07"
8,"35,92","4,45","0,07"
9,"40,37","4,45","0,07"
10,"44,83","4,46","0,07"
11,"49,3","4,47","0,07"
12,"53,75","4,45","0,07"
13,"58,21","4,46","0,07"
14,"62,67","4,46","0,07"
15,"67,13","4,46","0,07"
16,"71,58","4,45","0,07"
17,"76,04","4,46","0,07"
18,"80,49","4,45","0,07"
19,"84,95","4,46","0,07"
20,"89,4","4,45","0,07"
21,"93,86","4,46","0,07"
22,"98,32","4,46","0,07"
23,"102,78","4,46","0,07"
24,"107,24","4,46","0,07"
25,"111,7","4,46","0,07"
26,"116,15","4,45","0,07"
27,"120,61","4,46","0,07"
28,"125,06","4,45","0,07"
29,"129,51","4,45","0,07"
30,"133,97","4,46","0,07"
