iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"3,11","3,11","0,05"
2,"6,12","3,01","0,05"
3,"9,11","2,99","0,05"
4,"12,10","2,99","0,05"
5,"15,12","3,02","0,05"
6,"18,11","2,99","0,05"
7,"21,13","3,02","0,05"
8,"24,10","2,97","0,05"
9,"27,12","3,02","0,05"
10,"30,13","3,01","0,05"
11,"33,11","2,98","0,05"
12,"36,13","3,02","0,05"
13,"39,15","3,02","0,05"
14,"42,17","3,02","0,05"
15,"45,18","3,01","0,05"
16,"48,20","3,02","0,05"
17,"51,21","3,01","0,05"
18,"54,22","3,01","0,05"
19,"57,20","2,98","0,05"
20,"60,23","3,03","0,05"
21,"63,24","3,01","0,05"
22,"66,25","3,01","0,05"
23,"69,26","3,01","0,05"
24,"72,24","2,98","0,05"
25,"75,24","3,00","0,05"
26,"78,25","3,01","0,05"
27,"81,24","2,99","0,05"
28,"84,24","3,00","0,05"
29,"87,25","3,01","0,05"
30,"90,27","3,02","0,05"
,"46,68","3,01","0,05"
