iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,97","0,97","0,02"
2,"1,93","0,96","0,02"
3,"2,89","0,96","0,02"
4,"3,85","0,96","0,02"
5,"4,80","0,95","0,02"
6,"5,75","0,95","0,02"
7,"6,71","0,96","0,02"
8,"7,66","0,95","0,02"
9,"8,61","0,95","0,02"
10,"9,57","0,96","0,02"
11,"10,52","0,95","0,02"
12,"11,47","0,95","0,02"
13,"12,43","0,96","0,02"
14,"13,38","0,95","0,02"
15,"14,33","0,95","0,02"
16,"15,29","0,96","0,02"
17,"16,24","0,95","0,02"
18,"17,19","0,95","0,02"
19,"18,15","0,96","0,02"
20,"19,10","0,95","0,02"
21,"20,08","0,98","0,02"
22,"21,05","0,97","0,02"
23,"22,02","0,97","0,02"
24,"22,99","0,97","0,02"
25,"23,95","0,96","0,02"
26,"24,91","0,96","0,02"
27,"25,87","0,96","0,02"
28,"26,84","0,97","0,02"
29,"27,85","1,01","0,02"
30,"28,86","1,01","0,02"
