iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"2,79","2,79","0,05"
2,"5,47","2,68","0,04"
3,"8,16","2,69","0,04"
4,"10,86","2,70","0,05"
5,"13,55","2,69","0,04"
6,"16,25","2,70","0,05"
7,"18,96","2,71","0,05"
8,"21,67","2,71","0,05"
9,"24,40","2,73","0,05"
10,"27,13","2,73","0,05"
11,"29,86","2,73","0,05"
12,"32,62","2,76","0,05"
13,"35,37","2,75","0,05"
14,"38,12","2,75","0,05"
15,"40,81","2,69","0,04"
16,"43,49","2,68","0,04"
17,"46,17","2,68","0,04"
18,"48,85","2,68","0,04"
19,"51,54","2,69","0,04"
20,"54,22","2,68","0,04"
21,"56,98","2,76","0,05"
22,"59,73","2,75","0,05"
23,"62,48","2,75","0,05"
24,"65,23","2,75","0,05"
25,"67,99","2,76","0,05"
26,"70,74","2,75","0,05"
27,"73,50","2,76","0,05"
28,"76,26","2,76","0,05"
29,"79,01","2,75","0,05"
30,"81,77","2,76","0,05"
