iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"2,12","2,12","0,04"
2,"4,17","2,05","0,03"
3,"6,21","2,04","0,03"
4,"8,28","2,07","0,03"
5,"10,37","2,09","0,03"
6,"12,43","2,06","0,03"
7,"14,49","2,06","0,03"
8,"16,58","2,09","0,03"
9,"18,69","2,11","0,04"
10,"20,77","2,08","0,03"
11,"22,87","2,10","0,04"
12,"24,94","2,07","0,03"
13,"27,00","2,06","0,03"
14,"29,07","2,07","0,03"
15,"31,15","2,08","0,03"
16,"33,23","2,08","0,03"
17,"35,29","2,06","0,03"
18,"37,37","2,08","0,03"
19,"39,47","2,10","0,04"
20,"41,55","2,08","0,03"
21,"43,66","2,11","0,04"
22,"45,75","2,09","0,03"
23,"47,84","2,09","0,03"
24,"49,91","2,07","0,03"
25,"52,01","2,10","0,04"
26,"54,08","2,07","0,03"
27,"56,16","2,08","0,03"
28,"58,23","2,07","0,03"
29,"60,31","2,08","0,03"
30,"62,40","2,09","0,03"
,"32,21","2,08","0,03"
