iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,54","1,54","0,03"
2,"3,07","1,53","0,03"
3,"4,60","1,53","0,03"
4,"6,13","1,53","0,03"
5,"7,66","1,53","0,03"
6,"9,20","1,54","0,03"
7,"10,72","1,52","0,03"
8,"12,25","1,53","0,03"
9,"13,82","1,57","0,03"
10,"15,36","1,54","0,03"
11,"16,86","1,50","0,03"
12,"18,37","1,51","0,03"
13,"19,87","1,50","0,03"
14,"21,39","1,52","0,03"
15,"22,91","1,52","0,03"
16,"24,42","1,51","0,03"
17,"25,96","1,54","0,03"
18,"27,49","1,53","0,03"
19,"29,02","1,53","0,03"
20,"30,54","1,52","0,03"
21,"32,08","1,54","0,03"
22,"33,60","1,52","0,03"
23,"35,10","1,50","0,03"
24,"36,61","1,51","0,03"
25,"38,11","1,50","0,03"
26,"39,61","1,50","0,03"
27,"41,11","1,50","0,03"
28,"42,64","1,53","0,03"
29,"44,17","1,53","0,03"
30,"45,7","1,53","0,03"
,"23,6636666666667","1,52333333333333","0,025388888888889"
