iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,61","0,61","0,01"
2,"1,09","0,48","0,01"
3,"1,54","0,45","0,01"
4,"1,98","0,44","0,01"
5,"2,43","0,45","0,01"
6,"2,87","0,44","0,01"
7,"3,31","0,44","0,01"
8,"3,76","0,45","0,01"
9,"4,20","0,44","0,01"
10,"4,64","0,44","0,01"
11,"5,09","0,45","0,01"
12,"5,53","0,44","0,01"
13,"5,97","0,44","0,01"
14,"6,42","0,45","0,01"
15,"6,86","0,44","0,01"
16,"7,31","0,45","0,01"
17,"7,75","0,44","0,01"
18,"8,19","0,44","0,01"
19,"8,64","0,45","0,01"
20,"9,09","0,45","0,01"
21,"9,53","0,44","0,01"
22,"9,97","0,44","0,01"
23,"10,42","0,45","0,01"
24,"10,87","0,45","0,01"
25,"11,31","0,44","0,01"
26,"11,76","0,45","0,01"
27,"12,21","0,45","0,01"
28,"12,65","0,44","0,01"
29,"13,09","0,44","0,01"
30,"13,54","0,45","0,01"
,"7,09","0,45","0,01"
