iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,03","1,03","0,02"
2,"2,13","1,10","0,02"
3,"3,36","1,23","0,02"
4,"4,58","1,22","0,02"
5,"5,80","1,22","0,02"
6,"7,03","1,23","0,02"
7,"8,26","1,23","0,02"
8,"9,50","1,24","0,02"
9,"10,74","1,24","0,02"
10,"11,97","1,23","0,02"
11,"13,21","1,24","0,02"
12,"14,44","1,23","0,02"
13,"15,68","1,24","0,02"
14,"16,92","1,24","0,02"
15,"18,15","1,23","0,02"
16,"19,39","1,24","0,02"
17,"20,63","1,24","0,02"
18,"21,86","1,23","0,02"
19,"23,10","1,24","0,02"
20,"24,33","1,23","0,02"
21,"25,57","1,24","0,02"
22,"26,80","1,23","0,02"
23,"28,04","1,24","0,02"
24,"29,28","1,24","0,02"
25,"30,52","1,24","0,02"
26,"31,75","1,23","0,02"
27,"32,99","1,24","0,02"
28,"34,23","1,24","0,02"
29,"35,47","1,24","0,02"
30,"36,70","1,23","0,02"
,"18,78","1,22","0,02"
