iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,12","0,12",0
2,"0,22","0,1",0
3,"0,33","0,11",0
4,"0,44","0,11",0
5,"0,54","0,1",0
6,"0,64","0,1",0
7,"0,75","0,11",0
8,"0,86","0,11",0
9,"0,96","0,1",0
10,"1,07","0,11",0
11,"1,17","0,1",0
12,"1,28","0,11",0
13,"1,38","0,1",0
14,"1,49","0,11",0
15,"1,6","0,11",0
16,"1,7","0,1",0
17,"1,8","0,1",0
18,"1,91","0,11",0
19,"2,02","0,11",0
20,"2,12","0,1",0
21,"2,23","0,11",0
22,"2,33","0,1",0
23,"2,44","0,11",0
24,"2,54","0,1",0
25,"2,65","0,11",0
26,"2,75","0,1",0
27,"2,86","0,11",0
28,"2,96","0,1",0
29,"3,07","0,11",0
30,"3,18","0,11",0
