iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,66","1,66","0,03"
2,"3,32","1,66","0,03"
3,"4,98","1,66","0,03"
4,"6,63","1,65","0,03"
5,"8,29","1,66","0,03"
6,"9,93","1,64","0,03"
7,"11,60","1,67","0,03"
8,"13,31","1,71","0,03"
9,"14,99","1,68","0,03"
10,"16,63","1,64","0,03"
11,"18,26","1,63","0,03"
12,"19,90","1,64","0,03"
13,"21,60","1,70","0,03"
14,"23,31","1,71","0,03"
15,"24,99","1,68","0,03"
16,"26,65","1,66","0,03"
17,"28,31","1,66","0,03"
18,"29,98","1,67","0,03"
19,"31,64","1,66","0,03"
20,"33,30","1,66","0,03"
21,"34,97","1,67","0,03"
22,"36,64","1,67","0,03"
23,"38,30","1,66","0,03"
24,"39,98","1,68","0,03"
25,"41,65","1,67","0,03"
26,"43,32","1,67","0,03"
27,"44,99","1,67","0,03"
28,"46,66","1,67","0,03"
29,"48,32","1,66","0,03"
30,"49,99","1,67","0,03"
