iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"3,20","3,20","0,05"
2,"3,71","0,51","0,01"
3,"4,21","0,50","0,01"
4,"4,71","0,50","0,01"
5,"5,21","0,50","0,01"
6,"5,71","0,50","0,01"
7,"6,21","0,50","0,01"
8,"6,71","0,50","0,01"
9,"7,21","0,50","0,01"
10,"7,70","0,49","0,01"
11,"8,20","0,50","0,01"
12,"8,70","0,50","0,01"
13,"9,20","0,50","0,01"
14,"9,70","0,50","0,01"
15,"10,20","0,50","0,01"
16,"10,70","0,50","0,01"
17,"11,20","0,50","0,01"
18,"11,70","0,50","0,01"
19,"12,19","0,49","0,01"
20,"12,69","0,50","0,01"
21,"13,19","0,50","0,01"
22,"13,70","0,51","0,01"
23,"14,21","0,51","0,01"
24,"14,72","0,51","0,01"
25,"15,23","0,51","0,01"
26,"15,74","0,51","0,01"
27,"16,25","0,51","0,01"
28,"16,76","0,51","0,01"
29,"17,27","0,51","0,01"
30,"17,77","0,50","0,01"
