iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,84","1,84","0,03"
2,"3,62","1,78","0,03"
3,"5,44","1,82","0,03"
4,"7,32","1,88","0,03"
5,"9,12","1,80","0,03"
6,"10,92","1,80","0,03"
7,"12,83","1,91","0,03"
8,"14,62","1,79","0,03"
9,"16,42","1,80","0,03"
10,"18,20","1,78","0,03"
11,"20,01","1,81","0,03"
12,"21,72","1,71","0,03"
13,"23,51","1,79","0,03"
14,"25,30","1,79","0,03"
15,"27,09","1,79","0,03"
16,"28,84","1,75","0,03"
17,"30,54","1,70","0,03"
18,"32,23","1,69","0,03"
19,"33,95","1,72","0,03"
20,"35,67","1,72","0,03"
21,"37,38","1,71","0,03"
22,"39,10","1,72","0,03"
23,"40,82","1,72","0,03"
24,"42,54","1,72","0,03"
25,"44,26","1,72","0,03"
26,"45,98","1,72","0,03"
27,"47,70","1,72","0,03"
28,"49,41","1,71","0,03"
29,"51,14","1,73","0,03"
30,"52,86","1,72","0,03"
,"27,68","1,76","0,03"
