iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,43","0,43","0,01"
2,"0,73","0,30","0,01"
3,"1,04","0,31","0,01"
4,"1,35","0,31","0,01"
5,"1,65","0,30","0,00"
6,"1,94","0,29","0,00"
7,"2,27","0,33","0,01"
8,"2,56","0,29","0,00"
9,"2,87","0,31","0,01"
10,"3,17","0,30","0,00"
11,"3,47","0,30","0,01"
12,"3,77","0,30","0,00"
13,"4,06","0,29","0,00"
14,"4,36","0,30","0,01"
15,"4,66","0,30","0,00"
16,"4,96","0,30","0,00"
17,"5,25","0,29","0,00"
18,"5,55","0,30","0,00"
19,"5,85","0,30","0,00"
20,"6,14","0,29","0,00"
21,"6,44","0,30","0,01"
22,"6,74","0,30","0,00"
23,"7,03","0,29","0,00"
24,"7,33","0,30","0,00"
25,"7,63","0,30","0,00"
26,"7,93","0,30","0,00"
27,"8,23","0,30","0,01"
28,"8,52","0,29","0,00"
29,"8,82","0,30","0,01"
30,"9,12","0,30","0,00"
,"4,80","0,30","0,01"
