iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"0,83","0,83","0,01"
2,"1,03","0,2",0
3,"1,21","0,18",0
4,"1,39","0,18",0
5,"1,57","0,18",0
6,"1,75","0,18",0
7,"1,93","0,18",0
8,"2,22","0,29",0
9,"2,4","0,18",0
10,"2,58","0,18",0
11,"2,76","0,18",0
12,"2,94","0,18",0
13,"3,13","0,19",0
14,"3,32","0,19",0
15,"3,5","0,18",0
16,"3,69","0,19",0
17,"3,87","0,18",0
18,"4,06","0,19",0
19,"4,24","0,18",0
20,"4,43","0,19",0
21,"4,61","0,18",0
22,"4,8","0,19",0
23,"4,98","0,18",0
24,"5,17","0,19",0
25,"5,35","0,18",0
26,"5,53","0,18",0
27,"5,71","0,18",0
28,"5,89","0,18",0
29,"6,07","0,18",0
30,"6,26","0,19",0
