iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"4,36","4,36","0,07"
2,"8,82","4,46","0,07"
3,"13,21","4,39","0,07"
4,"17,65","4,44","0,07"
5,"22,08","4,43","0,07"
6,"26,50","4,42","0,07"
7,"30,94","4,44","0,07"
8,"35,36","4,42","0,07"
9,"39,78","4,42","0,07"
10,"44,19","4,41","0,07"
11,"48,66","4,47","0,07"
12,"53,09","4,43","0,07"
13,"57,50","4,41","0,07"
14,"61,93","4,43","0,07"
15,"66,34","4,41","0,07"
16,"70,76","4,42","0,07"
17,"75,21","4,45","0,07"
18,"79,63","4,42","0,07"
19,"84,02","4,39","0,07"
20,"88,48","4,46","0,07"
21,"92,90","4,42","0,07"
22,"97,31","4,41","0,07"
23,"101,75","4,44","0,07"
24,"106,18","4,43","0,07"
25,"110,61","4,43","0,07"
26,"115,03","4,42","0,07"
27,"119,48","4,45","0,07"
28,"123,94","4,46","0,07"
29,"128,31","4,37","0,07"
30,"132,71","4,40","0,07"
,"68,5576666666667","4,42366666666667","0,073727777777778"
