iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,65","1,65","0,03"
2,"3,32","1,67","0,03"
3,"4,99","1,67","0,03"
4,"6,67","1,68","0,03"
5,"8,34","1,67","0,03"
6,"10,01","1,67","0,03"
7,"11,69","1,68","0,03"
8,"13,36","1,67","0,03"
9,"15,03","1,67","0,03"
10,"16,71","1,68","0,03"
11,"18,39","1,68","0,03"
12,"20,06","1,67","0,03"
13,"21,73","1,67","0,03"
14,"23,40","1,67","0,03"
15,"25,08","1,68","0,03"
16,"26,75","1,67","0,03"
17,"28,43","1,68","0,03"
18,"30,10","1,67","0,03"
19,"31,75","1,65","0,03"
20,"33,35","1,60","0,03"
21,"34,95","1,60","0,03"
22,"36,53","1,58","0,03"
23,"38,13","1,60","0,03"
24,"39,75","1,62","0,03"
25,"41,37","1,62","0,03"
26,"42,99","1,62","0,03"
27,"44,61","1,62","0,03"
28,"46,23","1,62","0,03"
29,"47,85","1,62","0,03"
30,"49,47","1,62","0,03"
