iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"3,11","3,11","0,05"
2,"6,14","3,03","0,05"
3,"9,15","3,01","0,05"
4,"12,16","3,01","0,05"
5,"15,16","3,00","0,05"
6,"18,16","3,00","0,05"
7,"21,15","2,99","0,05"
8,"24,17","3,02","0,05"
9,"27,19","3,02","0,05"
10,"30,18","2,99","0,05"
11,"33,18","3,00","0,05"
12,"36,22","3,04","0,05"
13,"39,24","3,02","0,05"
14,"42,23","2,99","0,05"
15,"45,24","3,01","0,05"
16,"48,27","3,03","0,05"
17,"51,28","3,01","0,05"
18,"54,27","2,99","0,05"
19,"57,30","3,03","0,05"
20,"60,31","3,01","0,05"
21,"63,36","3,05","0,05"
22,"66,34","2,98","0,05"
23,"69,37","3,03","0,05"
24,"72,36","2,99","0,05"
25,"75,37","3,01","0,05"
26,"78,37","3,00","0,05"
27,"81,39","3,02","0,05"
28,"84,41","3,02","0,05"
29,"87,42","3,01","0,05"
30,"90,45","3,03","0,05"
