Consulta,Media do Tempo (segundos) – Sem otimização,Media do Tempo (s) – Depois da Otimização
1,"13,57","13,57"
2,"0,11","0,11"
3,"1,11","1,11"
4,"0,58","0,58"
5,"0,86","0,86"
6,"1,78","1,78"
7,"0,77","0,77"
8,"2,39","2,39"
9,"1,65","1,65"
10,"1,15","1,15"
11,"0,12","0,12"
12,"2,60","2,6"
13,"2,88","2,88"
14,"1,77","1,77"
15,"3,78","3,78"
16,"0,32","0,32"
17,"0,27","0,27"
18,"2,66","2,66"
19,"0,17","0,17"
20,"0,81","0,22"
21,"0,76","5,2"
22,"0,21","0,16"
