Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"251,03","251,03","4,18"
2,"470,83","219,80","3,66"
3,"602,83","132,00","2,20"
4,"752,31","149,48","2,49"
5,"892,33","140,02","2,33"
6,"1.021,62","129,29","2,15"
7,"1.124,31","102,69","1,71"
8,"1.241,31","117,00","1,95"
9,"1.403,33","162,02","2,70"
10,"1.518,87","115,54","1,93"
11,"1.632,15","113,28","1,89"
12,"1.844,90","212,75","3,55"
13,"2.111,28","266,38","4,44"
14,"2.277,10","165,82","2,76"
15,"2.475,69","198,59","3,31"
16,"2.754,21","278,52","4,64"
17,"3.060,10","305,89","5,10"
18,"3.231,67","171,57","2,86"
19,"3.449,64","217,97","3,63"
20,"178,18","-3.271,46","-54,52"
21,"488,86","310,68","5,18"
22,"711,49","222,63","3,71"
23,"915,39","203,90","3,40"
24,"1.028,73","113,34","1,89"
25,"1.150,62","121,89","2,03"
26,"1.393,88","243,26","4,05"
27,"1.523,89","130,01","2,17"
28,"1.827,71","303,82","5,06"
29,"1.996,43","168,72","2,81"
30,"2.193,97","197,54","3,29"
