Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"138,44","138,44","2,31"
2,"276,84","138,4","2,31"
3,"415,36","138,52","2,31"
4,"553,78","138,42","2,31"
5,"692,03","138,25","2,3"
6,"830,46","138,43","2,31"
7,"968,84","138,38","2,31"
8,"1107,3","138,46","2,31"
9,"1245,65","138,35","2,31"
10,"1384,07","138,42","2,31"
11,"1522,52","138,45","2,31"
12,"1660,81","138,29","2,3"
13,"1799,26","138,45","2,31"
14,"1937,59","138,33","2,31"
15,"2075,94","138,35","2,31"
16,"2214,43","138,49","2,31"
17,"2352,9","138,47","2,31"
18,"2491,2","138,3","2,31"
19,"2629,6","138,4","2,31"
20,"2768,09","138,49","2,31"
21,"2906,48","138,39","2,31"
22,"3044,81","138,33","2,31"
23,"3183,21","138,4","2,31"
24,"3321,6","138,39","2,31"
25,"3459,99","138,39","2,31"
26,"3598,44","138,45","2,31"
27,"3736,95","138,51","2,31"
28,"3875,39","138,44","2,31"
29,"4013,91","138,52","2,31"
30,"4152,28","138,37","2,31"
