Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"62,39","0,00","0,00"
2,"83,46","21,07","0,35"
3,"104,01","20,55","0,34"
4,"124,34","20,33","0,34"
5,"144,97","20,63","0,34"
6,"165,59","20,62","0,34"
7,"186,23","20,64","0,34"
8,"206,86","20,63","0,34"
9,"227,51","20,65","0,34"
10,"247,92","20,41","0,34"
11,"268,05","20,13","0,34"
12,"288,15","20,10","0,34"
13,"308,58","20,43","0,34"
14,"329,05","20,47","0,34"
15,"349,14","20,09","0,33"
16,"369,67","20,53","0,34"
17,"390,32","20,65","0,34"
18,"411,05","20,73","0,35"
19,"431,77","20,72","0,35"
20,"452,48","20,71","0,35"
21,"472,58","20,10","0,34"
22,"492,67","20,09","0,33"
23,"512,99","20,32","0,34"
24,"533,66","20,67","0,34"
25,"554,24","20,58","0,34"
26,"574,18","19,94","0,33"
27,"594,12","19,94","0,33"
28,"614,26","20,14","0,34"
29,"634,85","20,59","0,34"
30,"655,42","20,57","0,34"
