Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"92,04","92,04","1,53"
2,"188,03","95,99","1,60"
3,"218,98","30,95","0,08"
4,"249,55","30,57","0,08"
5,"280,12","30,57","0,08"
6,"310,79","30,67","0,08"
7,"341,36","30,57","0,08"
8,"372,06","30,70","0,08"
9,"402,65","30,59","0,08"
10,"433,24","30,59","0,08"
11,"463,90","30,66","0,08"
12,"494,52","30,62","0,08"
13,"525,02","30,50","0,08"
14,"555,56","30,54","0,08"
15,"586,19","30,63","0,08"
16,"616,80","30,61","0,08"
17,"647,36","30,56","0,08"
18,"677,96","30,60","0,08"
19,"708,56","30,60","0,08"
20,"739,20","30,64","0,08"
21,"769,78","30,58","0,08"
22,"800,35","30,57","0,08"
23,"831,03","30,68","0,08"
24,"861,64","30,61","0,08"
25,"892,15","30,51","0,08"
26,"922,72","30,57","0,08"
27,"953,33","30,61","0,09"
28,"983,88","30,55","0,09"
29,"1.014,48","30,60","0,08"
30,"1.045,00","30,52","0,08"
