Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"9,20","9,20","0,15"
2,"11,13","1,93","0,03"
3,"13,06","1,93","0,03"
4,"14,98","1,92","0,03"
5,"16,87","1,89","0,03"
6,"18,78","1,91","0,03"
7,"20,68","1,90","0,03"
8,"22,58","1,90","0,03"
9,"24,49","1,91","0,03"
10,"26,40","1,91","0,03"
11,"28,33","1,93","0,03"
12,"30,24","1,91","0,03"
13,"32,16","1,92","0,03"
14,"34,12","1,96","0,03"
15,"36,08","1,96","0,03"
16,"38,01","1,93","0,03"
17,"39,94","1,93","0,03"
18,"41,84","1,90","0,03"
19,"43,78","1,94","0,03"
20,"45,69","1,91","0,03"
21,"47,60","1,91","0,03"
22,"49,53","1,93","0,03"
23,"51,41","1,88","0,03"
24,"53,31","1,90","0,03"
25,"55,24","1,93","0,03"
26,"57,15","1,91","0,03"
27,"59,04","1,89","0,03"
28,"60,95","1,91","0,03"
29,"62,89","1,94","0,03"
30,"64,86","1,97","0,03"
