Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"31,52","31,52","0,53"
2,"54,90","20,60","0,34"
3,"78,39","20,64","0,34"
4,"101,24","20,68","0,34"
5,"124,07","20,73","0,35"
6,"146,72","20,69","0,34"
7,"169,35","20,67","0,34"
8,"191,98","20,72","0,35"
9,"214,62","20,67","0,34"
10,"237,24","20,60","0,34"
11,"259,85","20,60","0,34"
12,"282,45","20,65","0,34"
13,"305,06","20,67","0,34"
14,"327,68","20,58","0,34"
15,"350,28","20,69","0,34"
16,"372,87","20,58","0,34"
17,"395,41","20,69","0,34"
18,"417,91","20,64","0,34"
19,"440,42","20,59","0,34"
20,"462,91","20,69","0,34"
21,"485,41","20,61","0,34"
22,"507,92","20,68","0,34"
23,"530,43","20,69","0,34"
24,"552,96","20,63","0,34"
25,"576,35","20,64","0,34"
26,"600,65","20,76","0,35"
27,"624,99","20,65","0,34"
28,"649,41","20,62","0,34"
29,"673,74","20,72","0,35"
30,"698,16","20,74","0,35"
